4ft3gnwmtx,9/28/2010,8/2/2010,-57,57
bjjt8pjhuk,12/5/2011,9/8/2012,278,278
87mebub9p4,9/14/2010,2/18/2010,-208,208
osr2jwljor,1/1/2010,1/2/2010,1,1
lsw9q7uk0j,1/2/2010,1/5/2010,3,3
0d01nltbrs,1/3/2010,1/13/2010,10,10
a1vcnhxeij,1/4/2010,7/29/2010,206,206
6uh8zyj2gn,1/4/2010,1/4/2010,0,0
yuuqmid2rp,1/4/2010,1/6/2010,2,2
k6np330cm1,1/5/2010,1/18/2010,13,13
v4d5rl22px,1/7/2010,1/8/2010,1,1
frhre329au,1/7/2010,1/9/2010,2,2
gdka1q5ktd,1/10/2010,1/10/2010,0,0
qdubonn3uk,1/10/2010,1/18/2010,8,8
qsibmuz9sx,1/10/2010,1/11/2010,1,1
80f7dwscrn,1/11/2010,1/11/2010,0,0
al8bcetz0g,1/12/2010,1/15/2010,3,3
hfrl5gle36,1/12/2010,1/22/2010,10,10
tp6x3md0n4,1/13/2010,1/13/2010,0,0
hql77nu2lk,1/13/2010,1/19/2010,6,6
cheova4spt,1/14/2010,1/24/2010,10,10
7my0vrljxc,1/15/2010,1/15/2010,0,0
k15j7mbny0,1/19/2010,1/21/2010,2,2
g3z67e37mb,12/1/2010,12/3/2010,2,2
g1q6caq452,1/23/2010,1/27/2010,4,4
f6mzhb4wbc,1/24/2010,2/25/2010,32,32
ngai8kt2yi,1/24/2010,1/24/2010,0,0
byozd991xf,1/24/2010,1/25/2010,1,1
rcx09dn2je,1/25/2010,1/26/2010,1,1
ae59m0iqsx,1/25/2010,1/26/2010,1,1
efabqzuxmf,1/26/2010,1/27/2010,1,1
emg8edpcpm,1/26/2010,7/30/2010,185,185
ehcdcpkn8y,1/27/2010,1/28/2010,1,1
fp6ndcm5ak,1/27/2010,1/27/2010,0,0
ranh94tmin,1/29/2010,1/29/2010,0,0
0xvbruzuzz,1/30/2010,1/31/2010,1,1
mz47bohqc8,2/1/2010,2/2/2010,1,1
b9gu8uoxxw,2/2/2010,2/2/2010,0,0
h53mz152m4,2/2/2010,2/9/2010,7,7
b9pzliufcj,2/3/2010,2/4/2010,1,1
h2gn4f9oqa,2/3/2010,8/12/2010,190,190
jf5oxeb233,2/4/2010,3/20/2010,44,44
jzw5p68a5u,2/6/2010,2/6/2010,0,0
rxdkzkowt2,2/6/2010,2/10/2010,4,4
prqnudhgdx,2/7/2010,2/7/2010,0,0
6qx6xl5eho,2/7/2010,6/1/2010,114,114
563m2oiat7,2/8/2010,2/11/2010,3,3
wqj8o7gv3y,2/8/2010,2/26/2010,18,18
1o91tbwhmt,2/9/2010,2/20/2010,11,11
oc138x4t2c,2/9/2010,2/10/2010,1,1
u5otukcj1c,2/10/2010,3/19/2010,37,37
1qglty8tmd,2/10/2010,8/25/2010,196,196
so9lxma3fv,2/10/2010,2/12/2010,2,2
6u9s9pbr5r,2/10/2010,2/13/2010,3,3
4ktx9s53w5,2/10/2010,7/16/2010,156,156
ieu21joskb,2/11/2010,2/13/2010,2,2
qj9ttjt9ch,2/12/2010,2/21/2010,9,9
uzlk5vzgh4,2/13/2010,2/13/2010,0,0
dgatsm5ocq,2/13/2010,3/22/2010,37,37
2c543qkuic,2/15/2010,2/15/2010,0,0
sdzl0mr9us,2/15/2010,2/16/2010,1,1
m1p6kkn8l1,2/15/2010,12/12/2010,300,300
z1smu76iek,2/16/2010,2/16/2010,0,0
mdhde4y8ak,2/16/2010,2/16/2010,0,0
vlmrt8nr8q,2/16/2010,2/21/2010,5,5
0sjhzy6z9q,2/17/2010,2/17/2010,0,0
swrvyedlsp,5/30/2010,3/17/2010,-74,74
tt4tf7arx9,2/18/2010,2/18/2010,0,0
kbix4dw5bg,2/19/2010,2/21/2010,2,2
y7yglrqj4g,2/20/2010,2/28/2010,8,8
ofwq9iunbv,2/20/2010,2/11/2011,356,356
kzbgs46ka1,2/21/2010,6/28/2010,127,127
jqyog5updf,2/21/2010,2/22/2010,1,1
woz3bp8egc,2/22/2010,2/22/2010,0,0
2bvnlou71p,2/22/2010,3/4/2010,10,10
p2j15lz8ge,2/22/2010,2/23/2010,1,1
vol34s7upr,2/23/2010,2/25/2010,2,2
xx5xwvpmyj,2/24/2010,2/24/2010,0,0
mc6ihnidpc,2/24/2010,2/25/2010,1,1
qmg77g7lge,2/24/2010,3/8/2010,12,12
y2wks1ljcu,2/24/2010,2/24/2010,0,0
mcdh2s9owp,2/24/2010,2/24/2010,0,0
ese54wmkcb,2/24/2010,3/27/2010,31,31
nf307k7ewi,2/24/2010,2/28/2010,4,4
jad3mbqepi,2/25/2010,2/26/2010,1,1
hl3t7qzrdu,2/25/2010,2/26/2010,1,1
fyh4atoj1y,2/26/2010,2/27/2010,1,1
o9sog26g9x,2/26/2010,3/12/2010,14,14
dstzfld8qk,2/27/2010,2/28/2010,1,1
jcnhbybq4h,2/27/2010,3/1/2010,2,2
c0unmqaa5y,2/27/2010,3/1/2010,2,2
7a8k3t3zd7,2/28/2010,3/2/2010,2,2
5ml3i1o90h,3/1/2010,3/3/2010,2,2
1a9khjwzuh,3/1/2010,3/2/2010,1,1
f5accvka0y,3/1/2010,3/3/2010,2,2
yyikx9ztzu,3/2/2010,3/2/2010,0,0
to2hnhh1bc,3/2/2010,3/5/2010,3,3
k9zs5iak6w,3/3/2010,3/3/2010,0,0
ju7u7y9bo1,3/3/2010,3/3/2010,0,0
zpfucx0ipa,3/3/2010,3/6/2010,3,3
23czs745fi,3/4/2010,3/5/2010,1,1
3rcltoc165,3/5/2010,3/8/2010,3,3
3tyrowqzr9,3/5/2010,4/18/2010,44,44
1plg7bk21b,3/6/2010,3/15/2010,9,9
b9gk1av7rt,3/6/2010,3/7/2010,1,1
1r5wy9nxcs,3/6/2010,3/10/2010,4,4
3qsa4lo7eg,3/6/2010,3/8/2010,2,2
tpu2qt3yzw,3/7/2010,3/8/2010,1,1
fjs54jvq2s,3/7/2010,3/12/2010,5,5
v31grxlt55,3/7/2010,3/7/2010,0,0
jtmmh6dtq9,3/8/2010,3/22/2010,14,14
nhusfpisf6,3/8/2010,4/15/2010,38,38
gwtsd4te19,3/8/2010,3/8/2010,0,0
i4edhlimed,3/16/2010,4/6/2010,21,21
z4gv6bmyy7,3/10/2010,3/10/2010,0,0
vnlfsfrxzy,3/10/2010,3/22/2010,12,12
jdy1ic9k4m,3/10/2010,3/10/2010,0,0
mkcaeq27iw,3/10/2010,3/12/2010,2,2
fmss7nq5uh,3/11/2010,3/14/2010,3,3
l6b51zsk0b,3/11/2010,3/11/2010,0,0
sxx8m55bq3,3/11/2010,3/13/2010,2,2
9pthv2dj2u,3/12/2010,3/12/2010,0,0
i40huwxnxj,3/12/2010,3/19/2010,7,7
08zribz6lb,3/13/2010,3/19/2010,6,6
rqt4fs7tgv,3/13/2010,3/14/2010,1,1
39zddogscp,3/13/2010,3/15/2010,2,2
0yb3medm94,3/14/2010,3/14/2010,0,0
o2vi06sgkj,3/14/2010,3/15/2010,1,1
dey77qlhmz,3/14/2010,3/15/2010,1,1
ezkyrpdeo8,3/14/2010,3/15/2010,1,1
pyce1jzuzo,3/14/2010,3/29/2010,15,15
kd3gfwe476,3/14/2010,3/17/2010,3,3
nddgfoqsmc,3/14/2010,3/15/2010,1,1
lq0fec8hfd,3/15/2010,3/16/2010,1,1
2fauin9rez,3/15/2010,3/15/2010,0,0
zfcvq4vj94,3/15/2010,4/20/2010,36,36
bwzhjps811,3/15/2010,3/16/2010,1,1
8kjcxgk0sl,3/15/2010,4/12/2010,28,28
0p94c49eoo,3/15/2010,3/16/2010,1,1
8nwchwpq2o,3/15/2010,3/15/2010,0,0
y9lkqvfv1r,3/16/2010,3/19/2010,3,3
8hou630j7f,3/16/2010,3/16/2010,0,0
dl6lf5iqw8,3/16/2010,3/17/2010,1,1
r3i72eb2ae,3/16/2010,3/29/2010,13,13
2x8pnntq9x,3/18/2010,3/19/2010,1,1
7q4lkd34g7,3/18/2010,5/21/2010,64,64
xoq994nhd4,3/18/2010,3/18/2010,0,0
6wdr9zaflp,3/18/2010,3/19/2010,1,1
myo86rnosj,3/18/2010,3/20/2010,2,2
gzlqc7mz1o,3/19/2010,3/26/2010,7,7
9nf2vrjee0,3/19/2010,3/19/2010,0,0
fn9i5v97zr,3/19/2010,3/25/2010,6,6
1rk8pr9sd0,3/19/2010,3/28/2010,9,9
p7zoovvqb3,3/19/2010,3/21/2010,2,2
sab3gx63z4,3/19/2010,3/19/2010,0,0
z2mejhxhvf,3/19/2010,4/10/2010,22,22
m1trxudwtq,3/19/2010,3/25/2010,6,6
ewt2zkfelb,3/20/2010,3/20/2010,0,0
dc9z0c9qyh,3/20/2010,3/23/2010,3,3
mbjxmbwngx,3/20/2010,3/6/2011,351,351
6bbegns0g8,3/20/2010,3/21/2010,1,1
y3u5ul6zdb,3/21/2010,3/21/2010,0,0
jy29mjfc0u,3/22/2010,3/22/2010,0,0
vmbq6kd8rf,3/22/2010,3/22/2010,0,0
ywtl725uub,3/22/2010,3/22/2010,0,0
nqjv3udkar,3/23/2010,12/11/2010,263,263
5e6lo2i2m9,3/23/2010,4/9/2010,17,17
hd8n2vcnh7,3/23/2010,3/24/2010,1,1
gblq4gziw0,3/23/2010,3/25/2010,2,2
obnyc7z50d,3/23/2010,3/24/2010,1,1
8nt3tn9rxz,3/24/2010,4/2/2010,9,9
f6dszs8xce,3/24/2010,3/25/2010,1,1
i8q93p96t0,3/24/2010,3/24/2010,0,0
fdgpbt5byi,3/25/2010,3/26/2010,1,1
qz64wbav5b,3/25/2010,3/25/2010,0,0
67jmnw0euc,3/25/2010,3/26/2010,1,1
mxnhvrr67n,3/25/2010,3/25/2010,0,0
uhbkw5exeg,3/25/2010,4/17/2010,23,23
